timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,wue,cloud_provider,cloud_region
2025-11-30T18:00:08,climate_forecasting,58c3ca8c-8ae8-4447-9eaf-a5117c4b6404,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8.71645729104057,1.9296590180151887e-06,2.213811131729674e-07,0.278,0.0055,3.0,4.424066934594886e-07,1.1018260573295669e-08,4.7740995833495015e-06,5.227524537382286e-06,0.0,United States,USA,virginia,macOS-14.2-arm64-arm-64bit,3.12.2,3.2.0,8,Apple M2,1,Apple M2,-77.0602,38.8579,16.0,machine,N,1.0,0.0,,
2025-11-30T18:20:49,climate_forecasting,76f6c01b-f791-4214-8566-a4f1034f980b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8.789806833025068,2.0619880765215087e-06,2.3458855418462733e-07,0.4887,0.0,3.0,7.825016151750461e-07,0.0,4.803507708323499e-06,5.586009323498545e-06,0.0,United States,USA,virginia,macOS-14.2-arm64-arm-64bit,3.12.2,3.2.0,8,Apple M2,1,Apple M2,-77.0602,38.8579,16.0,machine,N,1.0,0.0,,
2025-12-01T03:24:01,climate_forecasting,aa10042e-d631-4b75-8a86-c2c5990c41ab,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8.9115045000799,2.784546006364203e-06,3.124664310430676e-07,1.5966,0.013100000000000002,3.0,2.6108630270480646e-06,2.6915864965943102e-08,4.905669166861723e-06,7.5434480588757305e-06,0.0,United States,USA,virginia,macOS-14.2-arm64-arm-64bit,3.12.2,3.2.0,8,Apple M2,1,Apple M2,-77.0602,38.8579,16.0,machine,N,1.0,0.0,,
