STATION,year,month,PRCP_sum,TMAX_mean,TMIN_mean,TMEAN,ym
USW00003017,1998,7,5.92,88.06451612903226,60.54838709677419,74.51612903225806,1998-07-01
USW00003017,1998,8,1.19,86.12903225806451,57.32258064516129,71.90322580645162,1998-08-01
USW00003017,1998,9,0.73,83.6,52.36666666666667,68.23333333333333,1998-09-01
USW00003017,1998,10,1.2,63.064516129032256,37.29032258064516,50.29032258064516,1998-10-01
USW00003017,1998,11,0.4,54.96666666666667,29.2,42.233333333333334,1998-11-01
USW00003017,1998,12,0.42000000000000004,42.61290322580645,15.096774193548388,29.096774193548388,1998-12-01
USW00003017,1999,1,0.38,46.483870967741936,20.93548387096774,33.96774193548387,1999-01-01
USW00003017,1999,2,0.15,54.32142857142857,22.928571428571427,38.892857142857146,1999-02-01
USW00003017,1999,3,0.19,59.70967741935484,27.741935483870968,43.903225806451616,1999-03-01
USW00003017,1999,4,5.859999999999999,54.56666666666667,30.466666666666665,42.8,1999-04-01
USW00003017,1999,5,2.37,68.0,41.61290322580645,55.064516129032256,1999-05-01
USW00003017,1999,6,2.52,78.3,50.13333333333333,64.46666666666667,1999-06-01
USW00003017,1999,7,3.84,87.48387096774194,60.32258064516129,74.09677419354838,1999-07-01
USW00003017,1999,8,3.37,83.45161290322581,58.935483870967744,71.45161290322581,1999-08-01
