STATION,year,month,probability,pred_default,pred_best,observed
USW00094789,2022,6,0.44713752209371305,0,0,0
USW00094789,2022,7,0.7532536364005035,1,1,0
USW00094789,2022,8,0.7621244373122235,1,1,0
USW00094789,2022,9,0.44535131288658003,0,0,0
USW00094789,2023,5,0.6511016242230082,1,1,0
USW00094789,2023,6,0.49481389873877424,0,0,0
USW00094789,2023,7,0.292803355580414,0,0,0
USW00094789,2023,8,0.3094690034705099,0,0,0
USW00094789,2023,9,0.24779586451708396,0,0,0
USW00094789,2024,5,0.6044506767564759,1,1,1
USW00094789,2024,6,0.4677968353605332,0,0,0
USW00094789,2024,7,0.6704890333823204,1,1,0
USW00094789,2024,8,0.4210001443693081,0,0,0
USW00094789,2024,9,0.7829155096534178,1,1,1
USW00094846,2021,5,0.6557209992220716,1,1,1
USW00094846,2021,6,0.43183563575719996,0,0,0
USW00094846,2021,7,0.5551973357312586,1,1,1
USW00094846,2021,8,0.29035999704826604,0,0,1
USW00094846,2021,9,0.7525236867348224,1,1,1
USW00094846,2022,5,0.5758136528869282,1,1,0
USW00094846,2022,6,0.6977210538876198,1,1,0
USW00094846,2022,7,0.2614397915648552,0,0,0
USW00094846,2022,8,0.530388744679415,1,1,0
USW00094846,2022,9,0.4626211052250207,0,0,0
USW00094846,2023,5,0.7922001682145512,1,1,0
USW00094846,2023,6,0.39475773958261945,0,0,0
USW00094846,2023,7,0.3778225462452978,0,0,0
USW00094846,2023,8,0.7681723835961075,1,1,0
USW00094846,2023,9,0.47006349361282374,0,0,1
USW00094846,2024,5,0.6613640801528762,1,1,1
USW00094846,2024,6,0.7207701961009821,1,1,0
USW00094846,2024,7,0.38226741830285,0,0,0
USW00094846,2024,8,0.6261822398271306,1,1,1
USW00094846,2024,9,0.8092292142899652,1,1,1
