STATION,year,month,TMEAN_next_lr,TMAX_next_lr,TMIN_next_lr
USW00003017,2025,1,34.51768073958122,46.89388750493613,22.141473974226365
USW00012839,2025,1,69.36388685971538,76.14548003131371,62.58229368811702
USW00023183,2025,1,58.7533894882721,70.0304778341136,47.47630114243059
USW00024233,2025,1,41.70502593424207,46.46734423188809,36.942707636596126
USW00093134,2025,1,56.187357472177375,65.84309888316007,46.53161606119469
USW00094789,2025,1,36.2252586061766,41.405242572302114,31.045274640051204
USW00094846,2025,1,29.345203116091646,34.708164156940825,23.98224207524267
