STATION,year,month,TMEAN_next,TMAX_next,TMIN_next,PRCP_next,model_used
USW00003017,2025,1,32.03781331108639,45.05575891201864,19.13182040891996,0.394232941253752,RandomForestRegressor
USW00012839,2025,1,70.76989016455677,78.47375091371369,63.269006329784425,1.4526776800261894,RandomForestRegressor
USW00023183,2025,1,59.1153924024931,70.46608282571457,47.83138316824689,0.6128054412216499,RandomForestRegressor
USW00024233,2025,1,43.0171782138885,48.071726521531914,38.10838338895068,6.5011377790832485,RandomForestRegressor
USW00093134,2025,1,60.07048903985028,70.35506831223404,49.62411677878418,1.3480077076101444,RandomForestRegressor
USW00094789,2025,1,34.28762980472134,40.85062595123332,27.529392119992238,2.741991799492476,RandomForestRegressor
USW00094846,2025,1,31.46352130674295,38.375660654695714,24.351375734943602,2.348787493315538,RandomForestRegressor
